Date,Open,High,Low,Close,Volume
2006-02-08,1.90156,1.90156,1.90156,1.90156,32302225.951336
2006-02-13,1.90156,1.90156,1.90156,1.90156,14723995.49597
2006-02-15,1.91141,1.91141,1.91141,1.91141,7018572.6407001
2006-02-20,2.13944,2.13944,2.13944,2.13944,29855011.294698
2006-02-22,2.12073,2.12073,2.12073,2.12073,3815824.25509
2006-02-27,1.95859,1.95859,1.95859,1.95859,8730606.8440857
2006-03-01,2.03533,2.03533,2.03533,2.03533,19776147.123177
2006-03-06,1.92126,1.92126,1.92126,1.92126,11493264.119179
2006-03-08,1.88294,1.88294,1.88294,1.88294,18626312.632893
2006-03-13,1.96844,1.96844,1.96844,1.96844,9539562.6471312
2006-03-15,2.05394,2.05394,2.05394,2.05394,23177319.350642
2006-03-20,2.09236,2.09236,2.09236,2.09236,11727300.667676
2006-03-22,1.94983,1.94983,1.94983,1.94983,39582821.145824
2006-03-27,2.28187,2.28187,2.28187,2.28187,13065384.371361
2006-03-29,2.56802,2.56802,2.56802,2.56802,32816092.411646
2006-04-03,2.48242,2.48242,2.48242,2.48242,31783930.759691
2006-04-06,2.57668,2.57668,2.57668,2.57668,25510058.134265
2006-04-10,2.88135,2.88135,2.88135,2.88135,28918863.091301
2006-04-13,2.68199,2.68199,2.68199,2.68199,16947348.232564
2006-04-19,2.88135,2.88135,2.88135,2.88135,30555800.760296
2006-04-24,2.77734,2.77734,2.77734,2.77734,7519718.5548612
2006-04-26,2.72906,2.72906,2.72906,2.72906,8445691.1251009
2006-05-02,2.95709,2.95709,2.95709,2.95709,26569942.559295
2006-05-04,2.98556,2.98556,2.98556,2.98556,4940220.6671846
2006-05-10,3.02388,3.02388,3.02388,3.02388,27804642.312363
2006-05-12,2.93848,2.93848,2.93848,2.93848,22732648.803323
2006-05-17,2.88633,2.88633,2.88633,2.88633,15102779.622361
2006-05-19,2.87737,2.87737,2.87737,2.87737,32250840.410478
2006-05-24,2.78231,2.78231,2.78231,2.78231,6619183.0581073
2006-05-26,3.35512,3.35512,3.35512,3.35512,35116992.15353
2006-06-01,3.43166,3.43166,3.43166,3.43166,34790653.529784
2006-06-05,3.36497,3.36497,3.36497,3.36497,10979398.663572
2006-06-08,3.02089,3.02089,3.02089,3.02089,34886812.660294
2006-06-12,3.30685,3.30685,3.30685,3.30685,21750200.866241
2006-06-14,2.87737,2.87737,2.87737,2.87737,34149086.289346
2006-06-19,3.00138,3.00138,3.00138,3.00138,6954976.9428762
2006-06-21,2.97282,2.97282,2.97282,2.97282,11630632.152687
2006-06-26,2.95421,2.95421,2.95421,2.95421,6018826.7300735
