Date,Open,High,Low,Close,Volume
1984-09-07,0.10107,0.10231,0.09985,0.10107,97379015
1984-09-10,0.10107,0.10138,0.09864,0.10047,75582002
1984-09-11,0.10138,0.10413,0.10138,0.10231,178226847
1984-09-12,0.10231,0.10291,0.09923,0.09923,155696351
1984-09-13,0.10475,0.10505,0.10475,0.10475,242491309
1984-09-14,0.10505,0.1087,0.10505,0.10626,288731212
1984-09-17,0.10902,0.11054,0.10902,0.10902,225436169
1984-09-18,0.10902,0.10992,0.10505,0.10505,113805339
1984-09-19,0.10505,0.10626,0.10291,0.10291,124310836
1984-09-20,0.10321,0.10413,0.10321,0.10321,77389739
1984-09-21,0.10321,0.10626,0.10107,0.10231,116765677
1984-09-24,0.10231,0.10291,0.10138,0.10138,92401367
1984-09-25,0.10107,0.10107,0.09923,0.09923,195072402
1984-09-26,0.09923,0.10381,0.09803,0.09803,129786292
1984-09-27,0.09803,0.09864,0.09803,0.09803,123891660
1984-09-28,0.09803,0.09803,0.09375,0.09558,272986040
1984-10-01,0.09529,0.09529,0.09344,0.09344,114355482
1984-10-02,0.09405,0.09741,0.09405,0.09405,138300669
1984-10-03,0.09558,0.0971,0.09558,0.09558,140841962
1984-10-04,0.09678,0.09741,0.09678,0.09678,146762762
1984-10-05,0.09678,0.09678,0.09405,0.09467,114119724
1984-10-08,0.09467,0.09529,0.09467,0.09467,54937805
1984-10-09,0.09467,0.09529,0.09375,0.09375,146500761
1984-10-10,0.09375,0.09375,0.09099,0.09099,426717540
1984-10-11,0.09099,0.09344,0.09039,0.09039,213751758
1984-10-12,0.09039,0.09099,0.08579,0.08641,310868788
1984-10-15,0.09129,0.09221,0.09129,0.09129,284513292
1984-10-16,0.09129,0.09161,0.09099,0.09099,138038761
1984-10-17,0.09467,0.09529,0.09467,0.09467,183204594
1984-10-18,0.09741,0.09803,0.09741,0.09741,289071790
1984-10-19,0.09741,0.10413,0.0971,0.09741,381420764
1984-10-22,0.09741,0.09893,0.09678,0.09678,134213813
1984-10-23,0.09893,0.09985,0.09893,0.09893,218048299
1984-10-24,0.09985,0.10107,0.09985,0.09985,195334387
1984-10-25,0.09985,0.09985,0.0962,0.0962,184986090
1984-10-26,0.0962,0.0962,0.09344,0.09375,134318559
1984-10-29,0.09405,0.09467,0.09405,0.09405,59234318
1984-10-30,0.09529,0.0962,0.09529,0.09529,87240280
1984-10-31,0.09529,0.0962,0.09467,0.09467,70447188
1984-11-01,0.09529,0.0962,0.09529,0.09529,55016369
1984-11-02,0.09529,0.09558,0.09405,0.09467,32381073
1984-11-05,0.09467,0.09678,0.09405,0.09405,123236718
1984-11-06,0.09985,0.10047,0.09985,0.09985,263528500
1984-11-07,0.09985,0.10047,0.09803,0.09803,270811599
1984-11-08,0.09803,0.09803,0.09405,0.09405,103064020
1984-11-09,0.09405,0.09467,0.08765,0.08857,344009631
1984-11-12,0.09161,0.09221,0.09161,0.09161,132458490
1984-11-13,0.09161,0.09375,0.08949,0.08949,148151294
1984-11-14,0.09039,0.09129,0.09039,0.09039,122031527
1984-11-15,0.09039,0.09129,0.09039,0.09039,124677574
1984-11-16,0.09039,0.09161,0.08796,0.08857,193867295
1984-11-19,0.08857,0.08918,0.08336,0.08336,272488265
1984-11-20,0.0861,0.08641,0.0861,0.0861,307882146
1984-11-21,0.08796,0.08857,0.08796,0.08796,209036045
1984-11-23,0.08918,0.09161,0.08918,0.09039,160333421
1984-11-26,0.09129,0.09129,0.09129,0.09129,117708900
1984-11-27,0.09375,0.09467,0.09375,0.09375,149015795
1984-11-28,0.09864,0.10107,0.09864,0.09864,480135901
1984-11-29,0.09864,0.09864,0.09678,0.09678,204530004
1984-11-30,0.09678,0.09741,0.09375,0.09405,127140272
1984-12-03,0.09405,0.09467,0.09282,0.09282,114617467
1984-12-04,0.09467,0.09678,0.09467,0.09467,140789543
1984-12-05,0.09923,0.09923,0.09923,0.09923,307489221
1984-12-06,0.10413,0.10475,0.10413,0.10413,371072465
1984-12-07,0.10413,0.1081,0.10321,0.10381,578379354
1984-12-10,0.10381,0.10381,0.1017,0.1017,130388817
1984-12-11,0.1017,0.10321,0.10047,0.10047,144771671
1984-12-12,0.10047,0.10047,0.0971,0.0971,128738376
1984-12-13,0.09803,0.09985,0.09803,0.09803,78175639
1984-12-14,0.09803,0.10138,0.09803,0.10047,112443027
1984-12-17,0.10291,0.10381,0.10291,0.10291,146474605
1984-12-18,0.10902,0.10932,0.10902,0.10902,398318595
1984-12-19,0.10902,0.10932,0.10475,0.10475,371334426
1984-12-20,0.10475,0.10656,0.10413,0.10413,163555856
