Date,Open,High,Low,Close,Volume
2010-03-11,0.6023,0.6192,0.6023,0.6192,3945424
2010-03-12,0.6197,0.6238,0.6039,0.6039,4851628
2010-03-15,0.5917,0.598,0.5759,0.5849,567627
2010-03-16,0.5922,0.633,0.5913,0.6324,1344585
2010-03-17,0.6564,0.6628,0.6433,0.6552,2782681
2010-03-18,0.6552,0.657,0.6302,0.6391,1688568
2010-03-19,0.6313,0.6316,0.5997,0.6102,1700400
2010-03-22,0.5981,0.6565,0.5947,0.6542,4055946
2010-03-23,0.6634,0.6989,0.6632,0.6964,6522059
2010-03-24,0.6896,0.6896,0.6544,0.6578,2167519
2010-03-25,0.6862,0.6962,0.6539,0.6546,2167639
2010-03-26,0.672,0.6754,0.6314,0.6442,2473470
2010-03-29,0.665,0.669,0.6569,0.6616,1471878
2010-03-30,0.6718,0.6812,0.6546,0.6742,2049850
2010-03-31,0.6794,0.6843,0.6602,0.6638,1146858
2010-04-01,0.6823,0.7099,0.6549,0.666,1753297
2010-04-05,0.6913,0.7252,0.647,0.7225,1593842
2010-04-06,0.7086,0.7217,0.7005,0.7114,2127460
2010-04-07,0.7152,0.7333,0.6955,0.7185,3640793
2010-04-08,0.7054,0.7054,0.67,0.693,4767291
2010-04-09,0.701,0.7118,0.685,0.7114,1335020
2010-04-12,0.7224,0.7478,0.7136,0.7294,2557222
2010-04-13,0.7333,0.747,0.7241,0.7433,3115073
2010-04-14,0.7895,0.8417,0.7895,0.8391,6931206
2010-04-15,0.854,0.8655,0.8367,0.8461,13505516
2010-04-16,0.8361,0.8361,0.7768,0.815,4745625
2010-04-19,0.7876,0.8115,0.7424,0.7874,6100090
2010-04-20,0.8104,0.8315,0.8047,0.8256,3116679
2010-04-21,0.8315,0.8496,0.7633,0.7998,6152281
2010-04-22,0.7841,0.8476,0.7476,0.8449,7033185
2010-04-23,0.8589,0.8589,0.8146,0.8486,3838775
2010-04-26,0.8564,0.8794,0.8502,0.8562,4101516
2010-04-27,0.8204,0.8499,0.7652,0.7676,5451671
2010-04-28,0.7832,0.8244,0.744,0.7828,7316870
2010-04-29,0.7832,0.8127,0.774,0.8098,6226543
2010-04-30,0.7891,0.7891,0.6988,0.7005,10776393
2010-05-03,0.7103,0.7633,0.7103,0.7521,5252052
2010-05-04,0.7364,0.7364,0.62,0.6526,20436887
2010-05-05,0.6421,0.6618,0.6014,0.6316,8450231
2010-05-06,0.625,0.6522,0.39064,0.5779,18600740
2010-05-07,0.5626,0.5796,0.48223,0.5427,13196426
2010-05-10,0.6375,0.6399,0.6064,0.6375,7688376
2010-05-11,0.6035,0.6586,0.5958,0.6253,29565897
2010-05-12,0.6357,0.6794,0.6357,0.676,45186726
2010-05-13,0.658,0.6851,0.6145,0.6232,30923439
2010-05-14,0.6085,0.6085,0.5322,0.5663,16909981
2010-05-17,0.5543,0.5952,0.5344,0.5897,20410688
2010-05-18,0.6042,0.6144,0.5336,0.5416,17208649
2010-05-19,0.539,0.5665,0.5125,0.5502,22722930
2010-05-20,0.5078,0.5402,0.47285,0.5053,11372156
2010-05-21,0.48443,0.5616,0.47238,0.5383,11965367
2010-05-24,0.5277,0.5483,0.5066,0.5066,11668589
2010-05-25,0.46345,0.5182,0.44534,0.518,11565829
2010-05-26,0.5441,0.566,0.5124,0.5153,15196458
2010-05-27,0.5554,0.5945,0.5476,0.5938,11278435
2010-05-28,0.6007,0.6007,0.5411,0.5652,9902514
2010-06-01,0.5616,0.5824,0.5267,0.5267,4832785
